title = "elemental data"
variables = "time (yr)", "temp (deg. c)","qx(m/yr)","qz(m/yr)","x(m)","z(m)","mat","head(m)"
text  x=50.0,y=50.0,t="element # 12831 "
zone f="point",i=  3000
   1070.00000000000  23.4379838174496 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1080.00000000000  23.4266556646762 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1090.00000000000  23.4153197961306 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1100.00000000000  23.4039774779119 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1110.00000000000  23.3926299402766 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1120.00000000000  23.3812783784498 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1130.00000000000  23.3699239534241 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1140.00000000000  23.3585677927481 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1150.00000000000  23.3472109913014 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1160.00000000000  23.3358546120592 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1170.00000000000  23.3244996868432 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1180.00000000000  23.3131472170605 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1190.00000000000  23.3017981744290 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1200.00000000000  23.2904535016910 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1210.00000000000  23.2791141133127 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1220.00000000000  23.2677808961713 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1230.00000000000  23.2564547102287 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1240.00000000000  23.2451363891925 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1250.00000000000  23.2338267411634 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1260.00000000000  23.2225265492703 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1270.00000000000  23.2112365722914 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1280.00000000000  23.1999575452638 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1290.00000000000  23.1886901800791 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1300.00000000000  23.1774351660672 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1310.00000000000  23.1661931705671 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1320.00000000000  23.1549648394853 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1330.00000000000  23.1437507978424 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1340.00000000000  23.1325516503072 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1350.00000000000  23.1213679817190 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1360.00000000000  23.1102003575977 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1370.00000000000  23.0990493246435 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1380.00000000000  23.0879154112236 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1390.00000000000  23.0767991278492 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1400.00000000000  23.0657009676400 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1410.00000000000  23.0546214067791 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1420.00000000000  23.0435609049563 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1430.00000000000  23.0325199058019 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1440.00000000000  23.0214988373087 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1450.00000000000  23.0104981122458 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1460.00000000000  22.9995181285609 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1470.00000000000  22.9885592697738 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1480.00000000000  22.9776219053599 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1490.00000000000  22.9667063911250 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1500.00000000000  22.9558130695702 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1510.00000000000  22.9449422702482 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1520.00000000000  22.9340943101113 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1530.00000000000  22.9232694938499 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1540.00000000000  22.9124681142237 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1550.00000000000  22.9016904523835 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1560.00000000000  22.8909367781861 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1570.00000000000  22.8802073505007 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1580.00000000000  22.8695024175078 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1590.00000000000  22.8588222169908 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1600.00000000000  22.8481669766199 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1610.00000000000  22.8375369142290 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1620.00000000000  22.8269322380860 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1630.00000000000  22.8163531471556 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1640.00000000000  22.8057998313561 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1650.00000000000  22.7952724718088 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1660.00000000000  22.7847712410822 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1670.00000000000  22.7742963034293 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1680.00000000000  22.7638478150187 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1690.00000000000  22.7534259241601 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1700.00000000000  22.7430307715240 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1710.00000000000  22.7326624903558 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1720.00000000000  22.7223212066844 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1730.00000000000  22.7120070395252 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1740.00000000000  22.7017201010780 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1750.00000000000  22.6914604969201 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1760.00000000000  22.6812283261940 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1770.00000000000  22.6710236817905 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1780.00000000000  22.6608466505268 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1790.00000000000  22.6506973133205 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1800.00000000000  22.6405757453586 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1810.00000000000  22.6304820162621 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1820.00000000000  22.6204161902469 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1830.00000000000  22.6103783262797 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1840.00000000000  22.6003684782307 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1850.00000000000  22.5903866950214 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1860.00000000000  22.5804330207697 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1870.00000000000  22.5705074949298 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1880.00000000000  22.5606101524298 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
